Logo,./logo.bmp,1
Stage1,./Stage_1.bmp,1
Stage12,./Stage_12.bmp,1
End,./Ending.bmp,1
Player,Move_LR_A.bmp,7
AppearPlayer,./AppearPlayer.bmp,11
Monster,./Monster_3.bmp,11
LinearMonster,./air_Monster8.bmp,16
RotateMonster,./air_Monster7.bmp,16
Bullet,./PlayerBullet.bmp,4
Bullet_Mob_A,./Bullet_Mob_A.bmp,1
Effect1,Effect_1.bmp,12
Effect2,Effect_2.bmp,6
UIStatus_Top,./UIStatus_Top.bmp,3
UI_Top_StageNumber,./UI_Top_StageNumber.bmp,1
UISubEnergyBar,./UISubEnergyBar.bmp,5
UIBoom,./UIBoom.bmp,10
UISubEnergyBarGauge,./UISubEnergyBarGauge.bmp,1
UIScore_Top,./UIScore_Top.bmp,1
PlayerHelper,./PlayerHelper.bmp,4
Helper_Bullet,./Helper_Bullet.bmp,2
Item_Gold,./Item_Gold.bmp,8
Item_Power,./Item_Power.bmp,8
Item_Bomb,./Item_Bomb.bmp,8
Boss,./BOSS.bmp,16
NamedMonster,./MidAirPlan.bmp,2
BulletEffect,./Bullet_Effect.bmp,3
BombAirplane,./Bomb_Airplan.bmp,1
Bomb_Bullet1,./Bomb_Bullet1.bmp,32
Bomb_Bullet2,./Bomb_Bullet2.bmp,16
Bullet_Mob_B,./Bullet_Mob_B.bmp,1
Bullet_Mob_C,./Bullet_Mob_C.bmp,1
Title,./Resources/01.Title/MenuBack.bmp,1
Stage01,./Resources/03.Map/Stage01_Far_short.bmp,1
PlayerStart,./Resources/02.Player/01.Right/x_right_01.bmp,17
PlayerIdleRight,./Resources/02.Player/01.Right/x_right_02.bmp,9
PlayerWalkRight,./Resources/02.Player/01.Right/x_right_05.bmp,15
